Used Ports
123
135
137
138
139
445
500
1042
1043
1900
4500
5040
5050
5353
5355
6463
7778
9012
9013
9014
10010
13010
13030
13031
13032
17532
17945
22112
24830
27339
42050
49410
49664
49665
49666
49667
49668
49669
49671
49673
49674
49675
49678
49679
49680
49685
50448
50923
51247
51308
53322
56427
56428
57164
57165
57166
57167
57171
57190
57194
57197
57201
57203
57205
57219
57440
57772
57796
58328
58416
58486
58507
58517
58518
58556
61125
61126
61127
61128
61304
65001
3136
