,7377,C7AB0777,192.168.0.112,,192.168.0.112
4,7495,C7AC097533,192.168.0.112,4,192.168.0.112
,7965,C7A10675,192.168.0.112,,192.168.0.112
4,9778,C9AF07783D,192.168.0.112,4,192.168.0.112
,2065,C2A80675,192.168.0.112,-,-
4,2117,C2A9017736,192.168.0.112,4,192.168.0.112
4,0,C2A1017436,192.168.0.112,-,-
,0,C3A80179,192.168.0.112,-,-
,0,C3AA0178,192.168.0.112,-,-
,0,C4AB0874,192.168.0.112,-,-
,0,C4AC0473,192.168.0.112,-,-
,0,C4AD0274,192.168.0.112,-,-
,4733,C4AF0373,192.168.0.112,,192.168.0.112
4,4821,C4A0027130,192.168.0.112,4,192.168.0.112
4,5121,C5A9027131,192.168.0.112,4,192.168.0.112
4,5492,C5AC097231,192.168.0.112,4,192.168.0.112
4,5916,C5A1017631,192.168.0.112,4,192.168.0.112
,6386,C6AB0876,192.168.0.112,,192.168.0.112
,6775,C6AF0775,192.168.0.112,,192.168.0.112
4,7111,C7A9017133,192.168.0.112,4,192.168.0.112
4,7392,C7AB097233,192.168.0.112,4,192.168.0.112
4,7593,C7AD097333,192.168.0.112,4,192.168.0.112
4,7691,C7AE097133,192.168.0.112,4,192.168.0.112
4,8894,C8A009743C,192.168.0.112,4,192.168.0.112
4,9704,C9AF00743D,192.168.0.112,4,192.168.0.112
4,9828,C9A002783D,192.168.0.112,4,192.168.0.112
4,1021,C1A8027135,192.168.0.112,4,192.168.0.112
4,6264,C6AA06CC32,192.168.0.200,-,-
4,6264,C6AA06CC32,192.168.0.200,-,-
4,6264,C6AA06CC32,192.168.0.200,-,-
,9104,C9A900CC,192.168.0.200,,192.168.0.200
4,6264,C6AA06CC32,192.168.0.200,-,-
3,9664,C9AE066D3A,192.168.0.105,3,192.168.0.200
